Date,최고가,최저가,시작가,종가,거래량,등락
2020-12-18,2782.14990234375,2762.800048828125,2770.949951171875,2772.179931640625,1058300,1
2020-12-21,2780.239990234375,2747.090087890625,2771.97998046875,2778.64990234375,1139500,0
2020-12-22,2774.219970703125,2733.639892578125,2772.030029296875,2733.679931640625,1260800,1
2020-12-23,2769.080078125,2716.280029296875,2737.739990234375,2759.820068359375,1121300,1
2020-12-24,2812.159912109375,2762.60009765625,2762.60009765625,2806.860107421875,1030900,1
2020-12-28,2834.590087890625,2799.56005859375,2820.949951171875,2808.60009765625,1006200,1
2020-12-29,2823.43994140625,2792.06005859375,2810.550048828125,2820.510009765625,1046800,1
2020-12-30,2878.2099609375,2809.35009765625,2820.360107421875,2873.469970703125,1074000,1
2021-01-04,2946.5400390625,2869.110107421875,2874.5,2944.449951171875,1026500,1
2021-01-05,2990.570068359375,2921.840087890625,2943.669921875,2990.570068359375,1519900,0
2021-01-06,3027.159912109375,2961.3701171875,2993.340087890625,2968.2099609375,1793400,1
2021-01-07,3055.280029296875,2980.75,2980.75,3031.679931640625,1524700,1
2021-01-08,3161.110107421875,3040.110107421875,3040.110107421875,3152.179931640625,1297900,0
2021-01-11,3266.22998046875,3096.18994140625,3161.89990234375,3148.449951171875,1712500,0
2021-01-12,3154.7900390625,3047.56005859375,3145.8701171875,3125.949951171875,1388600,1
2021-01-13,3164.3701171875,3109.6298828125,3128.260009765625,3148.2900390625,1578000,1
2021-01-14,3159.030029296875,3128.719970703125,3148.64990234375,3149.929931640625,1233200,0
2021-01-15,3189.89990234375,3085.89990234375,3153.840087890625,3085.89990234375,1331100,0
2021-01-18,3079.89990234375,3003.889892578125,3079.89990234375,3013.929931640625,1472000,1
2021-01-19,3092.659912109375,3013.050048828125,3013.050048828125,3092.659912109375,1353300,1
2021-01-20,3145.010009765625,3077.14990234375,3115.0400390625,3114.550048828125,1192700,1
2021-01-21,3163.2099609375,3123.27001953125,3123.27001953125,3160.840087890625,1360100,0
2021-01-22,3185.260009765625,3140.60009765625,3163.830078125,3140.6298828125,1111200,1
2021-01-25,3212.219970703125,3142.800048828125,3144.010009765625,3208.989990234375,1093700,0
2021-01-26,3209.179931640625,3132.669921875,3203.9599609375,3140.31005859375,873000,0
2021-01-27,3182.530029296875,3118.889892578125,3143.4599609375,3122.56005859375,924600,0
2021-01-28,3114.97998046875,3046.639892578125,3114.97998046875,3069.050048828125,1310500,0
2021-01-29,3100.219970703125,2962.699951171875,3078.72998046875,2976.2099609375,995100,1
2021-02-01,3056.8701171875,2947.239990234375,2976.81005859375,3056.530029296875,969300,1
2021-02-02,3138.949951171875,3065.56005859375,3065.56005859375,3096.81005859375,887300,1
2021-02-03,3142.260009765625,3091.85009765625,3108.419921875,3129.679931640625,901800,0
2021-02-04,3135.02001953125,3068.4599609375,3135.02001953125,3087.550048828125,1460900,1
2021-02-05,3124.6201171875,3081.780029296875,3098.489990234375,3120.6298828125,1193500,0
2021-02-08,3128.5400390625,3085.590087890625,3113.6298828125,3091.239990234375,1277200,0
2021-02-09,3129.659912109375,3084.669921875,3102.25,3084.669921875,2145400,1
2021-02-10,3111.8798828125,3064.25,3088.1298828125,3100.580078125,2152900,1
2021-02-15,3156.56005859375,3108.699951171875,3108.699951171875,3147.0,1604700,1
2021-02-16,3180.93994140625,3145.840087890625,3151.85009765625,3163.25,1944400,0
2021-02-17,3162.949951171875,3115.47998046875,3162.949951171875,3133.72998046875,1784100,0
2021-02-18,3140.39990234375,3086.659912109375,3131.739990234375,3086.659912109375,1860600,1
2021-02-19,3109.669921875,3040.280029296875,3089.9599609375,3107.6201171875,3455500,0
2021-02-22,3142.47998046875,3079.159912109375,3114.030029296875,3079.75,1832000,0
2021-02-23,3094.2900390625,3035.4599609375,3069.260009765625,3070.090087890625,2357800,0
2021-02-24,3092.050048828125,2993.4599609375,3070.580078125,2994.97998046875,1560900,1
